Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,128299,-,-,-,38.33,-123.06,-8,15,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,Temperature,Wind Speed
2019,1,1,0,30,0,5.9,3.2
2019,1,1,1,30,0,5.7,3.1
2019,1,1,2,30,0,5.6000000000000005,3
2019,1,1,3,30,0,5.4,2.8000000000000003
2019,1,1,4,30,0,5.2,2.7
2019,1,1,5,30,0,5.1000000000000005,2.6
2019,1,1,6,30,0,5,2.4000000000000004
2019,1,1,7,30,6,5.6000000000000005,2.3000000000000003
2019,1,1,8,30,132,7.1000000000000005,2.2
2019,1,1,9,30,294,8.9,2.1
2019,1,1,10,30,415,10.5,1.7000000000000002
2019,1,1,11,30,480,11.8,1.3
2019,1,1,12,30,505,12.600000000000001,1.2000000000000002
2019,1,1,13,30,458,13,1.2000000000000002
2019,1,1,14,30,321,13,1.2000000000000002
2019,1,1,15,30,196,12.8,1.2000000000000002
2019,1,1,16,30,61,11.100000000000001,1.6
2019,1,1,17,30,0,10.100000000000001,1.9000000000000001
2019,1,1,18,30,0,9.4,2
2019,1,1,19,30,0,9,2
2019,1,1,20,30,0,8.700000000000001,2
2019,1,1,21,30,0,8.6,2.1
2019,1,1,22,30,0,8.5,2.1
2019,1,1,23,30,0,8.4,2.1
2019,1,2,0,30,0,8.5,2
2019,1,2,1,30,0,8.6,1.5
2019,1,2,2,30,0,8.5,0.9
2019,1,2,3,30,0,8.1,0.5
