Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,179967,-,-,-,34.41,-119.7,-8,55,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,Temperature,Wind Speed
2018,1,1,0,30,0,16.3,1.1
2018,1,1,1,30,0,15.700000000000001,1.4000000000000001
2018,1,1,2,30,0,15,1.5
2018,1,1,3,30,0,14.600000000000001,1.5
2018,1,1,4,30,0,14.3,1.5
2018,1,1,5,30,0,14.100000000000001,1.6
2018,1,1,6,30,0,14.4,1.5
2018,1,1,7,30,45,16.1,1.5
2018,1,1,8,30,204,18.5,1.2000000000000002
2018,1,1,9,30,300,20.5,0.8
2018,1,1,10,30,416,21.8,0.9
2018,1,1,11,30,496,22,1.3
2018,1,1,12,30,499,21.8,1.5
2018,1,1,13,30,375,21.6,1.5
2018,1,1,14,30,264,21.1,1.5
2018,1,1,15,30,83,20.700000000000003,1.6
2018,1,1,16,30,38,19,1.9000000000000001
2018,1,1,17,30,0,18.2,2
2018,1,1,18,30,0,17.7,1.8
2018,1,1,19,30,0,17.5,1.6
2018,1,1,20,30,0,17.6,1.4000000000000001
2018,1,1,21,30,0,17.7,1.3
2018,1,1,22,30,0,17.900000000000002,1.2000000000000002
2018,1,1,23,30,0,17.8,1.2000000000000002
2018,1,2,0,30,0,17.8,1.2000000000000002
2018,1,2,1,30,0,17.6,1.2000000000000002
2018,1,2,2,30,0,17.3,1.2000000000000002
2018,1,2,3,30,0,16.900000000000002,1.2000000000000002
2018,1,2,4,30,0,16.8,1
